Tiempo,Susceptibles,Infectados,Removidos
2.1,0.9999669292192702,1.700188719261727e-05,1.6068893537177137e-05
2.11,0.9999665415205125,1.7218486367497126e-05,1.6239993120087606e-05
2.12,0.9999661478312625,1.743889106633379e-05,1.641327767120547e-05
2.13,0.9999657480377666,1.7663176612172776e-05,1.6588785621203035e-05
2.14,0.9999653420238405,1.7891419997261845e-05,1.6766556162299935e-05
2.15,0.9999649296708117,1.812369992310421e-05,1.6946629265154635e-05
2.16,0.9999645108574623,1.836009684154363e-05,1.7129045696161642e-05
2.17,0.999964085459968,1.8600692996909692e-05,1.7313847035164826e-05
2.18,0.9999636533518372,1.884557246925218e-05,1.7501075693597614e-05
2.19,0.9999632144038483,1.9094821218694494e-05,1.7690774933061116e-05
2.2,0.9999627684839848,1.9348527130936735e-05,1.78829888843515e-05
2.21,0.9999623154573692,1.9606780063940117e-05,1.807776256694827e-05
2.22,0.9999618551861953,1.986967189582518e-05,1.8275141908975456e-05
2.23,0.9999613875296585,2.0137296574017298e-05,1.8475173767647974e-05
2.24,0.9999609123438843,2.040975016567387e-05,1.8677905950215834e-05
2.25,0.9999604294818554,2.0687130909428653e-05,1.8883387235419185e-05
2.2600000000000002,0.9999599387933362,2.0969539268489688e-05,1.9091667395467518e-05
2.27,0.9999594401247965,2.1257077985128355e-05,1.9302797218556807e-05
2.2800000000000002,0.9999589333193317,2.1549852136598148e-05,1.9516828531938638e-05
2.29,0.9999584182165822,2.1847969192522945e-05,1.9733814225555847e-05
2.3000000000000003,0.9999578946526502,2.2151539073795685e-05,1.995380827625956e-05
2.31,0.9999573624600145,2.246067421302954e-05,2.0176865772622957e-05
2.32,0.9999568214674432,2.277548961660496e-05,2.040304294036749e-05
2.33,0.9999562714999034,2.3096102928357193e-05,2.0632397168417727e-05
2.34,0.9999557123784696,2.3422634494950196e-05,2.0864987035601485e-05
2.35,0.9999551439202291,2.3755207432984284e-05,2.1100872338012333e-05
2.36,0.9999545659381852,2.409394769788614e-05,2.134011411705203e-05
2.37,0.9999539782411574,2.443898415463133e-05,2.1582774688170998e-05
2.38,0.9999533806336796,2.479044865035092e-05,2.1828917670325405e-05
2.39,0.9999527729158952,2.514847608887536e-05,2.2078608016169948e-05
2.4,0.99995215488345,2.5513204507270284e-05,2.2331912043005995e-05
2.41,0.9999515263273814,2.5884775154420603e-05,2.2588897464505297e-05
2.42,0.9999508870340054,2.62633325717209e-05,2.2849633423230003e-05
2.43,0.9999502367848004,2.664902467593184e-05,2.3114190523970376e-05
2.44,0.9999495753562881,2.70420028442641e-05,2.3382640867922167e-05
2.45,0.9999489025199109,2.744242200175324e-05,2.3655058087726228e-05
2.46,0.9999482180419059,2.7850440710990673e-05,2.39315173833936e-05
2.47,0.9999475216831769,2.8266221264277998e-05,2.4212095559139982e-05
2.48,0.9999468131991609,2.868992977827388e-05,2.449687106115415e-05
2.49,0.9999460923396928,2.9121736291204785e-05,2.4785924016325606e-05
2.5,0.9999453588488656,2.9561814862712995e-05,2.507933627195747e-05
2.5100000000000002,0.9999446124648873,3.0010343676417537e-05,2.537719143649134e-05
2.52,0.9999438529199337,3.046750514526598e-05,2.567957492127169e-05
2.5300000000000002,0.9999430799399971,3.0933486019757334e-05,2.598657398337804e-05
2.54,0.9999422932447316,3.1408477499118785e-05,2.629827776955408e-05
2.5500000000000003,0.9999414925472935,3.1892675345521435e-05,2.6614777361263687e-05
2.56,0.9999406775541779,3.2386280001422863e-05,2.6936165820904677e-05
2.57,0.9999398479650509,3.2889496710126903e-05,2.7262538239211963e-05
2.58,0.9999390034725767,3.340253563965388e-05,2.7593991783882835e-05
2.59,0.9999381437622408,3.392561201001729e-05,2.7930625749457864e-05
2.6,0.9999372685121678,3.445894622400589e-05,2.8272541608492043e-05
2.61,0.9999363773929346,3.5002764001573135e-05,2.86198430640517e-05
2.62,0.9999354700673787,3.555729651793905e-05,2.8972636103573782e-05
2.63,0.9999345461904006,3.612278054551288e-05,2.933102905412518e-05
2.64,0.9999336054087613,3.669945859974796e-05,2.969513263910085e-05
2.65,0.9999326473608747,3.728757908904405e-05,3.006506003640065e-05
2.66,0.9999316716765932,3.788739646881545e-05,3.0440926938125906e-05
2.67,0.9999306779769885,3.84991713998473e-05,3.0822851611838026e-05
2.68,0.9999296658741257,3.9123170911065815e-05,3.121095496342263e-05
2.69,0.9999286349708317,3.975966856685243e-05,3.1605360601604044e-05
2.7,0.999927584860457,4.040894463903566e-05,3.200619490415614e-05
2.71,0.9999265151266306,4.1071286283698543e-05,3.241358708585715e-05
2.72,0.9999254253430089,4.174698772294404e-05,3.282766926823719e-05
2.73,0.9999243150730172,4.243635043176492e-05,3.324857655116882e-05
2.74,0.9999231838695836,4.313968333016933e-05,3.3676447086352526e-05
2.75,0.9999220312748667,4.385730298071801e-05,3.411142215275035e-05
2.7600000000000002,0.9999208568199744,4.4589533791633666e-05,3.455364623402264e-05
2.77,0.9999196600246765,4.5336708225648463e-05,3.500326709802444e-05
2.7800000000000002,0.999918440397107,4.609916701476036e-05,3.5460435878419786e-05
2.79,0.9999171974334606,4.68772593810745e-05,3.5925307158473846e-05
2.8000000000000003,0.9999159306176791,4.767134326391145e-05,3.639803905708467e-05
2.81,0.9999146394211297,4.848178555336962e-05,3.68787933171181e-05
2.82,0.9999133233022736,4.930896233053517e-05,3.73677353961115e-05
2.83,0.9999119817063262,5.0153259114538656e-05,3.786503455941352e-05
2.84,0.9999106140649077,5.101507111666412e-05,3.8370863975829634e-05
2.85,0.9999092197956826,5.189480350172252e-05,3.888540081584488e-05
2.86,0.9999077983019907,5.2792871656908374e-05,3.9408826352497605e-05
2.87,0.9999063489724668,5.370970146836507e-05,3.99413260649801e-05
